x,y,Pass,Range,Sample,Section,V3.DW,R5.DW,V3.foliar,V3.root,R5.foliar,R5.root,R4.DI,R4.DS,R4.DX,R5.DI,R5.DS,R5.DX,R6.DI,R6.DS,R6.DX,PreSCN.cysts,PreSCN.eggs,PreSCN.juvs,PreSCN.eggsjuvs,PreSCN.total,Pre.spiral,Pre.lesion,Pre.dagger,PostSCN.cysts,PostSCN.eggs,PostSCN.juvs,PostSCN.eggsjuvs,PostSCN.total,Post.spiral,Post.lesion,Pre.DNA,Pre.qPCR,Pre.ratio,V3.qPCR,R5.qPCR,Post.qPCR,Post.DNA,Post.ratio,V3.Phi2,V3.PhiNPQ,V3.PhiNO,V3.SPAD,V3.NPQt,V3.LEF,V3.qL,R1.Phi2,R1.PhiNPQ,R1.PhiNO,R1.SPAD,R1.NPQt,R1.LEF,R1.qL,Yield
5.715,25.908,2,5,57,NE,0.69,3.26,0.33,28.33,2.33,40,25,1.5,4.17,80,3,26.67,85,4,37.78,30,3320,520,3840,3870,32,120,0,12,1120,100,1220,1232,0,0,55.6,765.6405843,6.89E-06,2.385521889,3.618281364,838.9875183,76.36333333,5.49E-06,-0.009042581,0.05318836,-0.041731038,-2.713333333,-0.15841039,-3.821573428,-0.023998182,-0.004743819,0.043492692,-0.038910533,0.316666667,0.474096544,-2.843823097,0.04375031,
5.715,28.956,2,5,58,NE,0.69,4.72,0.67,40,0,16.67,20,1.5,3.33,30,2,6.67,40,3.5,15.56,31,3120,600,3720,3751,48,152,0,7,740,60,800,807,0,0,64.18666667,476.301651,3.71E-06,4.707577705,3.546634674,672.5583191,84.43,3.98E-06,0.005189048,-0.004164265,0.004035488,-0.013333333,-0.48962007,5.68186448,-0.065182163,0.011312924,-0.000180576,-0.01396367,0.9,0.030692735,1.978495666,0.037070064,
5.715,32.004,2,6,59,NE,0.54,4.54,0,33.33,1.5,25,50,2.5,13.89,40,2,8.89,45,2.5,12.5,46,3280,720,4000,4046,36,28,0,30,2680,640,3320,3350,24,4,76.56333333,525.6015625,3.43E-06,4.865189552,3.729549408,792.8997498,86.09,4.61E-06,-0.00216974,0.03815915,-0.03092291,-2.173333333,-0.210556237,4.186414916,-0.049024738,-0.011620418,0.028152453,-0.019641417,1.416666667,0.138425394,-5.66369534,0.026378387,
5.715,35.052,2,6,60,NE,0.59,5.76,0,43.33,0.83,16.67,10,1.5,1.67,30,1.5,5,40,3.5,15.56,30,2840,320,3160,3190,24,20,0,6,560,100,660,666,4,0,60.85333333,463.4815801,3.81E-06,3.183856964,3.711369514,634.298055,77.32666667,4.10E-06,-0.038240316,-0.014242424,0.052657571,-1.253333333,-0.561157834,-21.66758998,-0.074106689,-0.004803368,0.033369562,-0.031964918,3.883333333,0.372187149,-7.119896145,0.042108117,
5.715,38.1,2,7,61,NE,0.71,2.64,0,36.67,1.17,85,10,1,1.11,40,1.5,6.67,65,3.5,25.28,16,1400,160,1560,1576,20,8,0,9,720,100,820,829,0,0,61.96666667,350.5511017,2.83E-06,3.542346001,4.508470535,575.1517995,83.27,3.45E-06,-0.017436541,-0.003862908,0.022991473,-0.853333333,-0.536541835,-8.793812684,-0.060994392,-0.055245534,0.097767493,-0.047134644,-6.25,1.740253023,-15.34580262,0.034606254,
5.715,41.148,2,7,62,NE,0.61,6.54,0,43.33,0,3.33,5,1,0.56,5,1,0.56,50,4.5,25,21,1960,200,2160,2181,12,0,0,12,1020,160,1180,1192,0,0,62.77,473.3131765,3.77E-06,2.785923004,3.870676041,375.8085887,94.34333333,1.99E-06,0.020613033,-0.030982289,0.014691476,-1.273333333,-0.569053195,10.71807204,-0.071706205,-0.053611342,0.066675955,-0.015313649,-3.866666667,1.239327901,-7.210782984,0.004232685,
5.715,44.196,2,8,63,NE,0.86,3.8,0,31.67,0.67,20,5,1,0.56,10,1,1.11,30,1.5,5,13,1240,180,1420,1433,40,16,0,7,680,40,720,727,16,0,73.28666667,324.2171275,2.21E-06,2.471238136,4.23769474,461.6797282,99.29,2.32E-06,0.018418244,-0.02058281,0.003213948,-0.813333333,-0.527229636,8.214187696,-0.031231188,0.00970891,-0.004403612,-0.010410492,0.35,-0.094961341,-2.134921944,0.068796757,
5.715,47.244,2,8,64,NE,0.67,3.69,0,20,0,3.33,0,0,0,10,1,1.11,30,2.5,8.33,10,840,80,920,930,8,8,0,11,1020,300,1320,1331,20,0,73.94666667,294.4592438,1.99E-06,1.932815552,3.085330009,305.7125346,96.54333333,1.58E-06,-0.02442012,0.006802174,0.019062429,-4.353333333,-0.332574253,-14.63583132,-0.04724468,-0.060890844,0.079485576,-0.020281213,0.016666667,3.331809832,-16.20965835,-0.003135949,
6.477,1.524,3,1,65,SE,0.46,1.77,0.83,40,1.83,83.33,60,3,20,80,2.5,22.22,80,4,35.56,44,4720,480,5200,5244,12,0,0,16,1040,160,1200,1216,0,0,57.11333333,706.2087504,6.18E-06,4.264313698,4.474065781,730.5505778,72.73333333,5.02E-06,,,,,,,,-0.06086405,0.133868994,-0.076340524,-1.810343439,2.087247855,-26.71368321,0.05899275,
6.477,4.572,3,1,66,SE,0.6,2.88,0,36.67,0,33.33,40,2,8.89,70,3,23.33,60,3,20,17,1600,280,1880,1897,8,0,0,81,7360,2240,9600,9681,8,0,59.84666667,572.4486186,4.78E-06,2.767027855,3.707443237,1082.769643,67.63333333,8.00E-06,,,,,,,,-0.035909769,0.028741012,0.005128892,-4.560343439,0.262636578,-22.10280942,-0.007385587,
6.477,7.62,3,2,67,SE,0.43,2.41,0.83,35,0.67,40,40,1.5,6.67,75,2.5,20.83,100,4.5,50,26,2440,320,2760,2786,8,0,0,28,2800,480,3280,3308,0,0,61.15666667,987.0880025,8.07E-06,3.426670074,6.964529991,883.4998475,72.72333333,6.07E-06,,,,,,,,-0.021243936,0.040551374,-0.021934732,0.872989894,0.429011634,-13.85393645,0.034980295,
6.477,10.668,3,2,68,SE,0.7,2.66,0,41.67,1.33,48.33,30,1.5,5,60,3,20,90,3.5,35,43,4800,560,5360,5403,20,12,0,22,2040,360,2400,2422,8,0,74.08,717.0223592,4.84E-06,5.029750824,6.413078308,608.3595784,74.77333333,4.07E-06,0.003012664,0.092734703,-0.096003849,-6.44,0.734157523,1.150258948,0.054325467,-0.009492301,-0.019796674,0.027316099,-5.310343439,-0.013621119,-4.727075541,-0.007609509,
6.477,13.716,3,3,69,SE,0.76,3.08,0,35,0.67,46.67,30,2.5,8.33,50,2.5,13.89,70,3.5,27.22,23,2240,480,2720,2743,8,8,0,21,1840,280,2120,2141,0,0,57.83,871.1264852,7.53E-06,5.544284821,7.077617645,879.2942505,73.82333333,5.96E-06,-0.009253083,0.012734838,-0.003837325,-3.58,-0.002577917,-8.762391231,-0.002650638,-0.03069484,0.06472125,-0.037002672,1.222989894,0.677961451,-16.50511524,0.041662421,
6.477,16.764,3,3,70,SE,0.59,3.58,0,30,2.67,56.67,50,1.5,8.33,75,3,25,90,3.5,35,58,5120,960,6080,6138,16,4,0,15,1340,120,1460,1475,0,0,60.09,622.7671763,5.18E-06,3.883714676,7.302823067,613.474589,69.41666667,4.42E-06,-0.007817387,-0.004324126,0.008957195,-2.1,-0.081104159,-1.274918943,-0.010596641,-0.036320729,0.053441236,-0.022463995,-1.151734565,0.61212584,-31.7930412,0.03054483,
6.477,19.812,3,4,71,SE,0.63,3.47,0.33,31.67,0.33,20,50,2.5,13.89,25,1,2.78,35,2.5,9.72,22,2280,360,2640,2662,4,8,0,9,880,120,1000,1009,8,0,71.81333333,1000.66805,6.97E-06,3.725580215,6.507609367,751.7505697,72.44333333,5.19E-06,-0.006366715,0.009281482,-0.004385732,-7.54,-0.008031947,-7.740920983,0.001532214,-0.040449326,0.071348714,-0.034499613,-6.877010106,0.698562243,-29.05183663,0.03533095,
6.477,22.86,3,4,72,SE,0.61,3.51,0,46.67,0,43.33,20,1.5,3.33,25,1,2.78,45,3,15,38,3680,600,4280,4318,16,44,0,18,960,40,1000,1018,8,0,59.54666667,574.1632792,4.82E-06,4.120200157,5.811315536,806.3619182,78.01666667,5.17E-06,-0.007515926,0.000440937,0.008869714,-3.12,-0.037317741,3.421336204,-0.027618277,-0.033828712,0.008029427,0.021870954,-0.966266314,0.105573531,-23.62468731,-0.001125685,
6.477,25.908,3,5,73,NE,0.68,2.41,0,26.67,0.67,50,20,1.5,3.33,50,2.5,13.89,50,3.5,19.44,22,2240,360,2600,2622,36,100,0,18,1280,160,1440,1458,24,0,61.37333333,503.2178141,4.10E-06,4.377494812,5.641799927,661.5283509,92.74,3.57E-06,-0.012321321,0.048363193,-0.032773131,-3.96,0.413333104,6.523318641,-0.014943691,0.001585461,-0.009432635,0.004530367,-1.243676773,0.249308451,-3.77620575,0.036751537,
6.477,28.956,3,5,74,NE,0.65,4.77,0,6.67,0.33,8.33,5,1,0.56,40,1.5,6.67,65,3,21.67,24,2120,400,2520,2544,16,44,0,14,1160,80,1240,1254,12,8,64.90333333,717.4087321,5.53E-06,3.027594566,6.719628334,1244.357066,98.18,6.34E-06,-0.02142705,0.053445216,-0.032091674,-4.558,0.396947053,-1.683195783,-0.009838308,-0.007924556,-0.01080454,0.017436483,2.345579436,0.167788205,-3.502506335,0.000287838,
6.477,32.004,3,6,75,NE,0.52,3.46,0,38.33,0.33,20,20,1,2.22,40,2.5,11.11,80,3.5,31.11,31,2560,200,2760,2791,40,4,0,22,1760,160,1920,1942,0,4,60.75333333,907.3569438,7.47E-06,4.428555489,4.805927277,786.0549113,89.80666667,4.38E-06,-0.02177034,0.058338252,-0.037164868,-5.2205,0.452176863,-13.58260345,-0.007660391,-0.010128453,0.020741321,-0.013493332,3.112246103,0.444800227,-7.533662091,0.036277296,
6.477,35.052,3,6,76,NE,0.6,4.65,0,36.67,2,20,10,1,1.11,30,1.5,5,40,3.5,15.56,19,1760,240,2000,2019,24,24,0,13,1000,200,1200,1213,4,0,57.62666667,561.2610982,4.87E-06,3.849253654,5.704927444,667.8897858,95.21666667,3.51E-06,-0.010417747,0.045949848,-0.034751863,-2.108,0.342117775,-3.415668234,0.012220354,-0.005909318,-0.00074493,0.003028859,0.078912769,0.168124829,-5.82285936,0.01915382,
6.477,38.1,3,7,77,NE,0.72,3.22,0.33,55,0.83,35,0,0,0,40,2,8.89,90,3,30,19,1720,160,1880,1899,28,8,0,18,1000,120,1120,1138,16,0,63.26666667,567.1491801,4.48E-06,4.758437157,5.441926003,488.0596415,82.78666667,2.95E-06,0.009661212,0.00642412,-0.01302898,-0.483,0.060616635,13.90238489,-0.01624956,-0.049546683,0.016830257,0.029693493,-1.954420564,0.206936876,-16.68884385,-0.037145236,
6.477,41.148,3,7,78,NE,0.65,3.42,0,53.33,0,20,5,1,0.56,35,1.5,5.83,75,2.5,20.83,17,1360,160,1520,1537,12,8,0,10,820,60,880,890,12,0,61.64666667,418.3875529,3.39E-06,4.08489418,5.417185783,397.9812571,89.92333333,2.21E-06,0.000937664,0.004817783,-0.004986091,-1.1705,0.021991411,4.478883235,-0.013654277,-0.006764548,0.002374955,0.003649152,0.678912769,0.156896454,-2.307402602,-0.002018503,
6.477,44.196,3,8,79,NE,0.39,4.29,0,18.33,0,20,0,0,0,10,1,1.11,60,1.5,10,14,1240,120,1360,1374,20,8,0,35,3440,520,3960,3995,20,0,68.40666667,335.3717702,2.45E-06,2.450081825,5.597125053,353.7303162,95.22333333,1.86E-06,-0.011321414,-0.011903279,0.024254589,-3.34,-0.144898433,-5.353188655,-0.028207123,0.002495629,0.001063826,-0.004314227,0.739656561,0.134890478,0.84820519,0.022013833,
6.477,47.244,3,8,80,NE,0.77,4.5,0,11.67,0,18.33,0,0,0,20,2,4.44,75,3,25,23,1560,240,1800,1823,4,0,0,7,660,80,740,747,4,0,76.45,263.3107707,1.72E-06,2.644257545,4.90869236,278.4202271,93.87,1.48E-06,0.010336823,0.024668409,-0.031906209,-3.04,0.187907356,14.70033298,0.000915878,-0.0048738,0.008543862,-0.00359215,3.256323227,0.168712712,-0.002358764,0.005858832,
8.763,1.524,3,1,81,SE,0.56,3.92,0,13.33,0.83,6.67,15,1.5,2.5,80,2,17.78,95,4.5,47.5,28,3120,440,3560,3588,16,4,0,47,5120,800,5920,5967,0,0,58.68333333,693.0168559,5.90E-06,2.695682526,5.729690552,697.5129598,68.98666667,5.06E-06,0.006174032,-0.002348888,-0.005840796,2.48,-0.026851759,1.547431997,0.016194148,-0.018624206,0.035297054,-0.017184993,1.189256209,0.288128813,-5.889794367,0.008084896,
8.763,4.572,3,1,82,SE,0.42,2.61,0,30,2.67,53.33,30,1,3.33,70,2,15.56,100,5.5,61.11,29,3360,480,3840,3869,16,4,0,47,4320,720,5040,5087,24,0,61.15,649.2017924,5.31E-06,3.743977547,6.65743351,662.0215861,69.62666667,4.75E-06,0.029057126,-0.008636858,-0.018329362,1.72,0.064629322,17.96607227,0.019119614,-0.026364805,0.046595681,-0.020146811,-4.310743791,0.438192202,-3.882536463,0.003741323,
8.763,7.62,3,2,83,SE,0.62,2.7,0.33,15,2.33,46.67,50,2,11.11,75,3,25,95,5.5,58.06,17,1800,240,2040,2057,4,0,0,19,1840,200,2040,2059,0,0,60.00333333,839.8263448,7.00E-06,4.244858742,6.031411171,668.4180501,71.55333333,4.67E-06,0.01511436,0.007012446,-0.024071589,2.46,0.101334188,8.854183348,0.031190008,-0.061199063,0.095856988,-0.034991426,-5.094077125,0.674969839,-14.99020875,-0.004436271,
8.763,10.668,3,2,84,SE,0.49,3.4,0,28.33,2,21.67,20,1.5,3.33,70,2.5,19.44,70,3.5,27.22,15,1480,200,1680,1695,12,8,0,57,6000,800,6800,6857,0,0,68.82,568.7949066,4.13E-06,2.922660828,6.493031502,855.2486471,71.63666667,5.97E-06,0.018084064,0.014511473,-0.031726989,2.88,0.242442258,5.314863953,0.033445645,-0.014081663,0.007646486,0.005427903,-3.660743791,0.044903349,-4.50937515,-0.016712935,
8.763,13.716,3,3,85,SE,0.62,2.84,0,30,2.5,26.67,70,2.5,19.44,40,2.5,11.11,20,1.5,3.33,28,2920,360,3280,3308,8,0,0,25,2280,480,2760,2785,4,0,57.77666667,715.9488525,6.20E-06,5.713247299,4.737726212,567.7174581,74.48,3.81E-06,-0.00631877,0.007598563,-0.000529004,-2.66,0.143612578,-1.006742316,0.000278484,-0.012226658,0.021469403,-0.008671659,-1.910743791,0.243510188,-3.845054258,-0.004498563,
8.763,16.764,3,3,86,SE,0.55,1.15,0,33.33,0,83.33,40,3,13.33,50,2,11.11,30,2,6.67,56,4720,640,5360,5416,4,8,0,7,700,80,780,787,0,0,62.90333333,768.2462667,6.11E-06,4.642524719,5.850722313,468.8248596,70.77333333,3.31E-06,-0.008706492,-0.014079893,0.022144711,1.62,-0.174934221,-3.607331767,-0.025134417,-0.07111317,0.163841509,-0.09205543,-10.93626017,2.155066762,-22.51789392,0.098972196,
8.763,19.812,3,4,87,SE,0.55,3.89,0,33.33,1,26.67,30,1.5,5,85,3,28.33,85,4,37.78,20,1760,280,2040,2060,0,0,0,8,760,80,840,848,8,0,55.76,954.7023824,8.56E-06,4.358506203,5.791044235,401.3635559,77.74666667,2.58E-06,-0.004679487,-0.02493616,0.027842537,2.76,-0.226033535,-5.652076455,-0.017728397,-0.010568586,0.005125692,0.006678491,-1.094077125,0.172873458,-2.743986474,-0.01150177,
8.763,22.86,3,4,88,SE,0.79,3.85,0,23.33,2.5,46.67,15,1.5,2.5,90,3.5,35,90,5,50,34,2840,400,3240,3274,20,0,0,10,820,120,940,950,0,8,70.67,436.2434031,3.09E-06,4.160499573,6.746315956,663.6047363,80.50666667,4.12E-06,,,,,,,,-0.015587291,0.003245881,0.011606274,-1.377410458,0.104673483,-2.18524883,-0.011623618,
8.763,25.908,3,5,89,NE,0.64,4.49,0,20,2.67,40,5,1,0.56,80,3,26.67,80,3,26.67,30,2880,480,3360,3390,32,0,8,14,1160,140,1300,1314,0,0,59.69333333,658.0620626,5.51E-06,2.864712715,5.57514286,830.8769023,88.77666667,4.68E-06,-0.007567826,0.037434815,-0.028091457,-2.633333333,-0.203554526,-0.892691889,-0.034007831,0.013223269,0.008448151,-0.023965783,0.172589542,0.160653083,2.854593189,0.067194004,
8.763,28.956,3,5,90,NE,0.89,4.26,0,33.33,0,16.67,0,0,0,50,2,11.11,80,4,35.56,19,1760,240,2000,2019,4,0,0,19,2320,200,2520,2539,0,0,66.23666667,772.6558126,5.83E-06,2.759699821,6.486731529,795.9007874,91.59666667,4.34E-06,0.014427385,0.013282263,-0.027175204,-2.273333333,-0.36273486,5.847662383,-0.035149129,-0.032636077,0.018940918,0.011614073,-0.077410458,0.036080618,-12.14436421,-0.02235961,
8.763,32.004,3,6,91,NE,0.82,4.87,0,20,0,13.33,10,1,1.11,25,2,5.56,60,4,26.67,33,3080,400,3480,3513,16,8,4,2,160,50,210,212,0,0,65.50666667,481.1377411,3.67E-06,4.146925926,4.999802589,540.7965088,88.29,3.06E-06,,,,,,,,-0.00966667,0.043922587,-0.033627106,1.255922875,0.402657828,-1.503987782,0.033580565,
8.763,35.052,3,6,92,NE,0.66,2.48,0,30,2.5,60,15,2,3.33,75,1.5,12.5,100,4.5,50,38,3280,360,3640,3678,0,0,0,37,3520,440,3960,3997,0,0,63.37,690.3697459,5.45E-06,3.488265991,6.354773521,613.779363,85.2,3.60E-06,-0.008705292,0.03883136,-0.032152375,-3.42,0.193292677,1.970634009,0.022816882,-0.017293091,0.03736223,-0.021581749,-0.010743791,0.326292226,-6.685647444,0.030270027,
8.763,38.1,3,7,93,NE,0.67,3.46,0,10,0,26.67,0,0,0,25,1,2.78,70,3,23.33,9,940,120,1060,1069,8,0,0,9,940,120,1060,1069,8,0,67.91333333,510.592514,3.76E-06,1.67113018,3.767473221,832.6978353,101.6333333,4.10E-06,-0.016416863,0.02232193,-0.004931457,-3.88,0.036759583,-0.586889423,-0.010818086,-0.063308337,0.086346783,-0.025066562,-2.560743791,1.414210922,-7.219254824,0.037939598,
8.763,41.148,3,7,94,NE,0.71,4.4,0,21.67,0,10,0,0,0,10,1,1.11,40,2.5,11.11,13,1160,160,1320,1333,8,0,0,17,1640,120,1760,1777,0,0,67.61333333,525.2445882,3.88E-06,1.687852859,5.539839745,598.5631867,92.97333333,3.22E-06,,,,,,,,0.002790013,-0.028285184,0.025404081,-1.310743791,-0.097032493,0.481268803,-0.020750015,
8.763,44.196,3,8,95,NE,0.6,4.95,0,21.67,0,6.67,0,0,0,0,0,0,15,2,3.33,11,980,120,1100,1111,32,0,0,8,820,60,880,888,32,8,76.75,344.7271678,2.25E-06,0.781894684,5.021308899,886.5895386,109.6466667,4.04E-06,0.034112914,-0.00351359,-0.029054739,-4.16,0.122495728,20.49637947,0.012668404,-0.006900568,-0.001833944,0.006901415,0.105922875,0.041291232,-6.929125217,0.006166677,
8.763,47.244,3,8,96,NE,0.44,3.4,0,35,0.67,13.33,5,1.5,0.83,20,1,2.22,65,2,14.44,11,940,140,1080,1091,0,4,0,28,2560,320,2880,2908,28,0,84.85,240.6972809,1.42E-06,1.936879158,4.570116043,482.322581,101.9833333,2.36E-06,,,,,,,,-0.006241254,-0.025644033,0.032551043,-0.077410458,-0.091998119,-2.230964817,-0.036589257,
0.762,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.53939641
0.762,9.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.95251917
0.762,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.80439488
0.762,21.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.16477541
0.762,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.38440552
0.762,33.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.86973959
0.762,39.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20700303
0.762,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75819255
2.286,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02519046
2.286,9.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.75220272
2.286,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.43233931
2.286,21.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.38561293
2.286,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.26020698
2.286,33.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58492579
2.286,39.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3636997
2.286,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.30061588
3.81,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96935251
3.81,9.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.53119905
3.81,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79949486
3.81,21.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.15815567
3.81,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.12808213
3.81,33.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.66512552
3.81,39.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3217012
3.81,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.12969963
5.334,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56556863
5.334,9.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.53911803
5.334,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.25532713
5.334,21.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98510179
5.334,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.49395862
5.334,33.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7741481
5.334,39.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.81381714
5.334,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1227747
6.858,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.68239779
6.858,9.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.30606881
6.858,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.61243831
6.858,21.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.68135251
6.858,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.42091161
6.858,33.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8975371
6.858,39.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.56816095
6.858,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25747697
8.382,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.35619255
8.382,9.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32746372
8.382,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.92652453
8.382,21.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84791283
8.382,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.91361308
8.382,33.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.60200512
8.382,39.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58525005
8.382,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58401025
